Iteration,Timestep,FromStratumID,FromSecondaryStratumID,FromTertiaryStratumID,FromStateClassID,FromAgeMin,FromStockTypeID,ToStratumID,ToStateClassID,ToAgeMin,ToStockTypeID,TransitionGroupID,StateAttributeTypeID,FlowTypeID,TargetType,Multiplier,TransferToStratumID,TransferToSecondaryStratumID,TransferToTertiaryStratumID,TransferToStateClassID,TransferToAgeMin
,,,,,,,Biomass: Coarse Root,,,,DOM: Aboveground Fast,,,Biomass Turnover: Coarse Roots -> AG Fast,,1,,,,,
,,,,,,,Biomass: Coarse Root,,,,DOM: Belowground Fast,,,Biomass Turnover: Coarse Roots -> BG Fast,,1,,,,,
,,,,,,,Biomass: Fine Root,,,,DOM: Aboveground Very Fast,,,Biomass Turnover: Fine Roots -> AG Very Fast,,1,,,,,
,,,,,,,Biomass: Fine Root,,,,DOM: Belowground Very Fast,,,Biomass Turnover: Fine Roots -> BG Very Fast,,1,,,,,
,,,,,,,Biomass: Foliage,,,,DOM: Aboveground Very Fast,,,Biomass Turnover: Foliage -> AG Very Fast,,1,,,,,
,,,,,,,Biomass: Merchantable,,,,DOM: Snag Stem,,,Biomass Turnover: Merchantable -> Snag Stems,,1,,,,,
,,,,,,,Biomass: Other Wood,,,,DOM: Aboveground Fast,,,Biomass Turnover: Other Wood -> AG Fast,,1,,,,,
,,,,,,,Biomass: Other Wood,,,,DOM: Snag Branch,,,Biomass Turnover: Other Wood -> Snag Branches,,1,,,,,
,,,,,,,DOM: Aboveground Fast,,,,Atmosphere,,,Emission: AG Fast -> Atmosphere,,1,,,,,
,,,,,,,DOM: Aboveground Fast,,,,DOM: Aboveground Slow,,,Decay: AG Fast -> AG Slow,,1,,,,,
,,,,,,,DOM: Aboveground Medium,,,,Atmosphere,,,Emission: AG Medium -> Atmosphere,,1,,,,,
,,,,,,,DOM: Aboveground Medium,,,,DOM: Aboveground Slow,,,Decay: AG Medium -> AG Slow,,1,,,,,
,,,,,,,DOM: Aboveground Slow,,,,Atmosphere,,,Emission: AG Slow -> Atmosphere,,1,,,,,
,,,,,,,DOM: Aboveground Slow,,,,DOM: Belowground Slow,,,Transfer: AG Slow -> BG Slow,,1,,,,,
,,,,,,,DOM: Aboveground Very Fast,,,,Atmosphere,,,Emission: AG Very Fast -> Atmosphere,,1,,,,,
,,,,,,,DOM: Aboveground Very Fast,,,,DOM: Aboveground Slow,,,Decay: AG Very Fast -> AG Slow,,1,,,,,
,,,,,,,DOM: Belowground Fast,,,,Atmosphere,,,Emission: BG Fast -> Atmosphere,,1,,,,,
,,,,,,,DOM: Belowground Fast,,,,DOM: Belowground Slow,,,Decay: BG Fast -> BG Slow,,1,,,,,
,,,,,,,DOM: Belowground Slow,,,,Atmosphere,,,Emission: BG Slow -> Atmosphere,,1,,,,,
,,,,,,,DOM: Belowground Very Fast,,,,Atmosphere,,,Emission: BG Very Fast -> Atmosphere,,1,,,,,
,,,,,,,DOM: Belowground Very Fast,,,,DOM: Belowground Slow,,,Decay: BG Very Fast -> BG Slow,,1,,,,,
,,,,,,,DOM: Snag Branch,,,,Atmosphere,,,Emission: Snag Branch -> Atmosphere,,1,,,,,
,,,,,,,DOM: Snag Branch,,,,DOM: Aboveground Fast,,,Transfer: Snag Branch -> AG Fast,,1,,,,,
,,,,,,,DOM: Snag Branch,,,,DOM: Aboveground Slow,,,Decay: Snag Branch -> AG Slow,,1,,,,,
,,,,,,,DOM: Snag Stem,,,,Atmosphere,,,Emission: Snag Stem -> Atmosphere,,1,,,,,
,,,,,,,DOM: Snag Stem,,,,DOM: Aboveground Medium,,,Transfer: Snag Stem -> AG Medium,,1,,,,,
,,,,,,,DOM: Snag Stem,,,,DOM: Aboveground Slow,,,Decay: Snag Stem -> AG Slow,,1,,,,,
,,,,,Forest: Alder/Maple Group,,Atmosphere,,,,Biomass: Coarse Root,,Net Growth,Net Growth Forest: Atmosphere -> Coarse Roots,,1,,,,,
,,,,,Forest: Alder/Maple Group,,Atmosphere,,,,Biomass: Fine Root,,Net Growth,Net Growth Forest: Atmosphere -> Fine Roots,,1,,,,,
,,,,,Forest: Alder/Maple Group,,Atmosphere,,,,Biomass: Foliage,,Net Growth,Net Growth Forest: Atmosphere -> Foliage,,1,,,,,
,,,,,Forest: Alder/Maple Group,,Atmosphere,,,,Biomass: Merchantable,,Net Growth,Net Growth Forest: Atmosphere -> Merchantable,,1,,,,,
,,,,,Forest: Alder/Maple Group,,Atmosphere,,,,Biomass: Other Wood,,Net Growth,Net Growth Forest: Atmosphere -> Other Wood,,1,,,,,
,,,,,Forest: Aspen/Birch Group,,Atmosphere,,,,Biomass: Coarse Root,,Net Growth,Net Growth Forest: Atmosphere -> Coarse Roots,,1,,,,,
,,,,,Forest: Aspen/Birch Group,,Atmosphere,,,,Biomass: Fine Root,,Net Growth,Net Growth Forest: Atmosphere -> Fine Roots,,1,,,,,
,,,,,Forest: Aspen/Birch Group,,Atmosphere,,,,Biomass: Foliage,,Net Growth,Net Growth Forest: Atmosphere -> Foliage,,1,,,,,
,,,,,Forest: Aspen/Birch Group,,Atmosphere,,,,Biomass: Merchantable,,Net Growth,Net Growth Forest: Atmosphere -> Merchantable,,1,,,,,
,,,,,Forest: Aspen/Birch Group,,Atmosphere,,,,Biomass: Other Wood,,Net Growth,Net Growth Forest: Atmosphere -> Other Wood,,1,,,,,
,,,,,Forest: California Mixed Conifer Group,,Atmosphere,,,,Biomass: Coarse Root,,Net Growth,Net Growth Forest: Atmosphere -> Coarse Roots,,1,,,,,
,,,,,Forest: California Mixed Conifer Group,,Atmosphere,,,,Biomass: Fine Root,,Net Growth,Net Growth Forest: Atmosphere -> Fine Roots,,1,,,,,
,,,,,Forest: California Mixed Conifer Group,,Atmosphere,,,,Biomass: Foliage,,Net Growth,Net Growth Forest: Atmosphere -> Foliage,,1,,,,,
,,,,,Forest: California Mixed Conifer Group,,Atmosphere,,,,Biomass: Merchantable,,Net Growth,Net Growth Forest: Atmosphere -> Merchantable,,1,,,,,
,,,,,Forest: California Mixed Conifer Group,,Atmosphere,,,,Biomass: Other Wood,,Net Growth,Net Growth Forest: Atmosphere -> Other Wood,,1,,,,,
,,,,,Forest: Douglas-fir Coastal Group,,Atmosphere,,,,Biomass: Coarse Root,,Net Growth,Net Growth Forest: Atmosphere -> Coarse Roots,,1,,,,,
,,,,,Forest: Douglas-fir Coastal Group,,Atmosphere,,,,Biomass: Fine Root,,Net Growth,Net Growth Forest: Atmosphere -> Fine Roots,,1,,,,,
,,,,,Forest: Douglas-fir Coastal Group,,Atmosphere,,,,Biomass: Foliage,,Net Growth,Net Growth Forest: Atmosphere -> Foliage,,1,,,,,
,,,,,Forest: Douglas-fir Coastal Group,,Atmosphere,,,,Biomass: Merchantable,,Net Growth,Net Growth Forest: Atmosphere -> Merchantable,,1,,,,,
,,,,,Forest: Douglas-fir Coastal Group,,Atmosphere,,,,Biomass: Other Wood,,Net Growth,Net Growth Forest: Atmosphere -> Other Wood,,1,,,,,
,,,,,Forest: Douglas-fir Inland Group,,Atmosphere,,,,Biomass: Coarse Root,,Net Growth,Net Growth Forest: Atmosphere -> Coarse Roots,,1,,,,,
,,,,,Forest: Douglas-fir Inland Group,,Atmosphere,,,,Biomass: Fine Root,,Net Growth,Net Growth Forest: Atmosphere -> Fine Roots,,1,,,,,
,,,,,Forest: Douglas-fir Inland Group,,Atmosphere,,,,Biomass: Foliage,,Net Growth,Net Growth Forest: Atmosphere -> Foliage,,1,,,,,
,,,,,Forest: Douglas-fir Inland Group,,Atmosphere,,,,Biomass: Merchantable,,Net Growth,Net Growth Forest: Atmosphere -> Merchantable,,1,,,,,
,,,,,Forest: Douglas-fir Inland Group,,Atmosphere,,,,Biomass: Other Wood,,Net Growth,Net Growth Forest: Atmosphere -> Other Wood,,1,,,,,
,,,,,Forest: Elm/Ash/Cottonwood Group,,Atmosphere,,,,Biomass: Coarse Root,,Net Growth,Net Growth Forest: Atmosphere -> Coarse Roots,,1,,,,,
,,,,,Forest: Elm/Ash/Cottonwood Group,,Atmosphere,,,,Biomass: Fine Root,,Net Growth,Net Growth Forest: Atmosphere -> Fine Roots,,1,,,,,
,,,,,Forest: Elm/Ash/Cottonwood Group,,Atmosphere,,,,Biomass: Foliage,,Net Growth,Net Growth Forest: Atmosphere -> Foliage,,1,,,,,
,,,,,Forest: Elm/Ash/Cottonwood Group,,Atmosphere,,,,Biomass: Merchantable,,Net Growth,Net Growth Forest: Atmosphere -> Merchantable,,1,,,,,
,,,,,Forest: Elm/Ash/Cottonwood Group,,Atmosphere,,,,Biomass: Other Wood,,Net Growth,Net Growth Forest: Atmosphere -> Other Wood,,1,,,,,
,,,,,Forest: Exotic Hardwoods Group,,Atmosphere,,,,Biomass: Coarse Root,,Net Growth,Net Growth Forest: Atmosphere -> Coarse Roots,,1,,,,,
,,,,,Forest: Exotic Hardwoods Group,,Atmosphere,,,,Biomass: Fine Root,,Net Growth,Net Growth Forest: Atmosphere -> Fine Roots,,1,,,,,
,,,,,Forest: Exotic Hardwoods Group,,Atmosphere,,,,Biomass: Foliage,,Net Growth,Net Growth Forest: Atmosphere -> Foliage,,1,,,,,
,,,,,Forest: Exotic Hardwoods Group,,Atmosphere,,,,Biomass: Merchantable,,Net Growth,Net Growth Forest: Atmosphere -> Merchantable,,1,,,,,
,,,,,Forest: Exotic Hardwoods Group,,Atmosphere,,,,Biomass: Other Wood,,Net Growth,Net Growth Forest: Atmosphere -> Other Wood,,1,,,,,
,,,,,Forest: Exotic Softwoods Group,,Atmosphere,,,,Biomass: Coarse Root,,Net Growth,Net Growth Forest: Atmosphere -> Coarse Roots,,1,,,,,
,,,,,Forest: Exotic Softwoods Group,,Atmosphere,,,,Biomass: Fine Root,,Net Growth,Net Growth Forest: Atmosphere -> Fine Roots,,1,,,,,
,,,,,Forest: Exotic Softwoods Group,,Atmosphere,,,,Biomass: Foliage,,Net Growth,Net Growth Forest: Atmosphere -> Foliage,,1,,,,,
,,,,,Forest: Exotic Softwoods Group,,Atmosphere,,,,Biomass: Merchantable,,Net Growth,Net Growth Forest: Atmosphere -> Merchantable,,1,,,,,
,,,,,Forest: Exotic Softwoods Group,,Atmosphere,,,,Biomass: Other Wood,,Net Growth,Net Growth Forest: Atmosphere -> Other Wood,,1,,,,,
,,,,,Forest: Fir/Spruce/Mountain Hemlock Group,,Atmosphere,,,,Biomass: Coarse Root,,Net Growth,Net Growth Forest: Atmosphere -> Coarse Roots,,1,,,,,
,,,,,Forest: Fir/Spruce/Mountain Hemlock Group,,Atmosphere,,,,Biomass: Fine Root,,Net Growth,Net Growth Forest: Atmosphere -> Fine Roots,,1,,,,,
,,,,,Forest: Fir/Spruce/Mountain Hemlock Group,,Atmosphere,,,,Biomass: Foliage,,Net Growth,Net Growth Forest: Atmosphere -> Foliage,,1,,,,,
,,,,,Forest: Fir/Spruce/Mountain Hemlock Group,,Atmosphere,,,,Biomass: Merchantable,,Net Growth,Net Growth Forest: Atmosphere -> Merchantable,,1,,,,,
